number,identifier,category,rationale
527,VAX,NA,"Review updated COVID-19 ICD-10-CM reporting guidelines, if applicable. For a confirmed COVID-19 diagnosis, assign code U07.1, COVID-19. If the provider documents suspected, possible, probable, or “inconclusive” COVID19, do not assign code U07.1. Assign a code(s) explaining the reason for encounter (such as fever) or Z20.822, Contact with and (suspected) exposure to COVID-19. For cases where there is a concern about a possible exposure to COVID-19, but this is ruled out after evaluation, assign code Z20.822."
528,UNVSL,Medcost - group number,Group Number required on claims. Be sure group number is listed in the insurance settings to prevent claim rejections.
529,RHC,NA,G2025 is billed by Medicare and Medicare CMOs on a UB04.
530,RHC,NA,Do not use modifier CG with HCPCS code G2025 unless visit was for a covered preventative service.
531,ICD:CM,J95 Excludes 1,"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified (J95) and aspiration pneumonia (J69.-), emphysema (subcutaneous) resulting from a procedure (T81.82), hypostatic pneumonia (J18.2), and pulmonary manifestations due to radiation (J70.0-J70.1) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note."
532,UNVSL,Codes with Bilateral in the Description,A code with bilateral in the description is present. Review use of 50 modifier.
533,UNVSL,Bilateral procedures,"Review procedures and apply appropriate laterality modifiers (RT, LT, 50)."
534,UNVSL,Codes with Unilateral or Bilateral in the Description,Codes that do not allow modifier 50 or modifiers LT and RT to be reported for the same date of service are present. Review modifier usage.
535,RADIO,73565 - laterality modifiers,"73565 describes x-rays in both knees. RT, LT & 50 modifier should not be used on this code."
536,ICD:CM,R53.8* - Excludes 1 Note,"Other fatigue (R53.8*) with combat exhaustion and fatigue (F43.0), congenital debility (P96.9), exhaustion and fatigue due to excessive exertion (T73.3), exhaustion and fatigue due to exposure (T73.2), exhaustion and fatigue due to heat (T67.-), exhaustion and fatigue due to pregnancy (O26.8-), exhaustion and fatigue due to recurrent depressive episode (F33), and/or exhaustion and fatigue due to senile debility (R54) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note."
537,UNVSL,Medicaid Primary,"Review insurance settings. When Medicaid is Primary, Secondary Insurance cannot be present. Medicaid is the last payer."
538,E&M,0-10 Global period - Surgery/Integumentary System,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25. Review documentation and payer guidelines to determine if modifier 25 if appropriate."
539,E&M,90 day global - Surgery/Integumentary System,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate."
540,E&M,0-10 global period - Surgery/Musculoskeletal System,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25."
541,E&M,90 day global - Surgery/Musculoskeletal System,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate."
542,E&M,0-10 global period - Surgery/Respiratory System,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25."
543,E&M,90 day global - Surgery/Respiratory System,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate."
544,E&M,0-10 global period - Surgery/Cardiovascular System,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25."
545,E&M,90 day global - Surgery/Cardiovascular System,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate."
546,E&M,0-10 global period - Surgery/Hemic and Lymphatic Systems,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25."
547,E&M,90 day global - Surgery/Hemic and Lymphatic Systems,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate."
548,E&M,0-10 global period - Surgery/Mediastinum and Diaphragm,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25."
549,E&M,90 day global - Mediastinum and Diaphragm,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate."
550,E&M,0-10 global period - Surgery/Digestive System,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25."
551,E&M,90 day global - Digestive System,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate."
552,E&M,0-10 global period - Surgery/Urinary System,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25."
553,E&M,90 day global - Urinary System,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate."
